package	crate_dir	binary	bin_path	req_features	in_scope	expect_a	expect_b	expect_c
trusty-search	trusty-search	trusty-search	src/main.rs	-	yes	present	present	present
trusty-search	trusty-search	trusty-embedderd	src/bin/trusty-embedderd.rs	-	yes	present	present	present
trusty-memory	trusty-memory	trusty-memory	src/main.rs	axum-server	yes	present	present	present
trusty-memory	trusty-memory	trusty-bm25-daemon	src/bin/bm25_daemon.rs	-	yes	present	present	present
trusty-memory	trusty-memory	trusty-memory-mcp-bridge	src/bin/mcp_bridge.rs	-	yes	present	present	present
trusty-analyze	trusty-analyze	trusty-analyze	src/main.rs	http-server	yes	present	present	present
trusty-code	trusty-code	tcode	src/main.rs	-	yes	present	present	present
trusty-installer	trusty-installer	trusty-installer	src/main.rs	-	yes	present	present	present
trusty-installer	trusty-installer	tctl	src/main.rs	-	yes	present	present	present
tga	trusty-git-analytics	tga	src/main.rs	-	yes	present	present	present
trusty-mpm	trusty-mpm	tm	src/bin/tm/main.rs	cli	yes	present	present	present
trusty-mpm	trusty-mpm	trusty-mpm	src/bin/tm/main.rs	cli	yes	present	present	present
trusty-review	trusty-review	trusty-review	src/main.rs	-	yes	present	present	present
# --- out of scope per DOC-1 D3; carried so --check-table can detect additions ---
trusty-agents	trusty-agents	tagent	src/main.rs	-	no	-	-	-
trusty-agents-ui	trusty-agents/ui/src-tauri	trusty-agents-ui	src/main.rs	-	no	-	-	-
trusty-agents-local	trusty-agents-local	trusty-agents-local	src/main.rs	-	no	-	-	-
trusty-channels	trusty-channels	slack-mcp	src/bin/slack-mcp.rs	-	no	-	-	-
trusty-channels	trusty-channels	telegram-mcp	src/bin/telegram-mcp.rs	-	no	-	-	-
trusty-code-gui	trusty-code-gui	trusty-code-gui	src/main.rs	-	no	-	-	-
trusty-common	trusty-common	candle_metal_bench	src/bin/candle_metal_bench.rs	embedder-candle	no	-	-	-
trusty-common	trusty-common	tickets-mcp	src/bin/tickets_mcp.rs	tickets	no	-	-	-
trusty-console	trusty-console	trusty-console	src/main.rs	-	no	-	-	-
trusty-embedderd-py	trusty-embedderd-py	trusty-embedderd-py	src/main.rs	-	no	-	-	-
trusty-gworkspace	trusty-gworkspace	trusty-gworkspace-mcp	src/bin/trusty-gworkspace-mcp.rs	-	no	-	-	-
trusty-kb	trusty-kb	trusty-kb	src/main.rs	-	no	-	-	-
trusty-mpm-gui	trusty-mpm-gui	trusty-mpm-gui	src/main.rs	-	no	-	-	-
trusty-publish-guard	trusty-publish-guard	publish-guard	src/main.rs	-	no	-	-	-
trusty-sld-lint	trusty-sld-lint	sld-lint	src/main.rs	-	no	-	-	-
